i,roast_id,time_s,phase_used,phase_actual_next,gas,pressure,drum_speed,start_weight_kg,bean_start_temp_c,charge_temp_c,start_temp_c,observer_enabled,actual_bt,pred_bt,actual_et,pred_et,actual_ror,pred_ror,pred_e_drum_raw,pred_e_drum,pred_m_burden,pred_p_dry,pred_p_mai,pred_p_dev,bt_error,et_error,ror_error
647,PR-0173,647.0,development,development,0.31,216.7,0.7,,,221.2,,False,208.8,219.51558855970922,210.2,222.07798432609127,0.0,5.662045738841602,-27.88685783011413,-1.1797567350814584,0.0,1.0,1.0,1.0,10.715588559709204,11.87798432609128,5.662045738841602
648,PR-0173,648.0,development,development,0.31,215.8,0.7,,,221.2,,False,209.0,219.6076263667911,210.2,222.06670402474768,11.999999999999318,5.62011254466296,-28.187702712955023,-1.1916106295894011,0.0,1.0,1.0,1.0,10.607626366791095,11.86670402474769,-6.379887455336358
649,PR-0173,649.0,development,development,0.31,216.1,0.7,,,221.2,,False,209.0,219.6989455134739,210.2,222.05443720462677,0.0,5.577823421554337,-28.486776005347224,-1.2033947198643729,0.0,1.0,1.0,1.0,10.698945513473888,11.854437204626777,5.577823421554337
650,PR-0173,650.0,development,development,0.31,216.6,0.7,,,221.2,,False,209.0,219.78955017964537,210.2,222.04597231872071,0.0,5.535360386174798,-28.78491999544836,-1.2151421937567746,0.0,1.0,1.0,1.0,10.789550179645374,11.845972318720726,5.535360386174798
651,PR-0173,651.0,development,development,0.31,216.3,0.7,,,221.2,,False,209.2,219.8794625294641,210.2,222.0357447435079,11.999999999999318,5.493174567059282,-29.078845687268768,-1.226723458198144,0.0,1.0,1.0,1.0,10.679462529464104,11.835744743507917,-6.506825432940036
652,PR-0173,652.0,development,development,0.31,216.8,0.7,,,221.2,,False,209.2,219.96868054660587,210.0,222.02611327378932,0.0,5.451146505493446,-29.371893552803833,-1.2382701345152802,0.0,1.0,1.0,1.0,10.768680546605879,12.02611327378932,5.451146505493446
653,PR-0173,653.0,development,development,0.31,217.5,0.7,,,221.2,,False,209.5,220.05720618576942,210.0,222.02105941930833,18.000000000000682,5.409264058789301,-29.664896942569552,-1.249815058397497,0.0,1.0,1.0,1.0,10.557206185769417,12.02105941930833,-12.590735941211381
654,PR-0173,654.0,development,development,0.31,216.6,0.7,,,221.2,,False,209.5,220.14506737991934,210.0,222.01182885542596,0.0,5.367986335851125,-29.951259723298463,-1.2610983289045674,0.0,1.0,1.0,1.0,10.64506737991934,12.01182885542596,5.367986335851125
655,PR-0173,655.0,development,development,0.31,216.1,0.7,,,221.2,,False,209.5,220.23226481748742,210.0,222.00316154951898,0.0,5.327144311321215,-30.232697445587227,-1.2721875421863873,0.0,1.0,1.0,1.0,10.732264817487419,12.003161549518978,5.327144311321215
656,PR-0173,656.0,development,development,0.31,216.0,0.7,,,221.2,,False,209.5,220.31880661703119,210.0,221.99507807521826,0.0,5.286753409712651,-30.510908504526533,-1.283149618431353,0.0,1.0,1.0,1.0,10.818806617031186,11.99507807521826,5.286753409712651
657,PR-0173,657.0,development,development,0.28,216.2,0.7,,,221.2,,False,209.5,220.40462047875832,210.0,221.96889482918613,0.0,5.245376897887236,-30.817162025129583,-1.2952166241641199,0.0,1.0,1.0,1.0,10.904620478758318,11.968894829186127,5.245376897887236
658,PR-0173,658.0,development,development,0.28,215.6,0.7,,,221.2,,False,209.8,220.48968819523387,210.0,221.94288697693315,18.000000000000682,5.2029827250809575,-31.117879293767174,-1.3070654904153434,0.0,1.0,1.0,1.0,10.689688195233856,11.942886976933153,-12.797017274919725
659,PR-0173,659.0,development,development,0.28,216.9,0.7,,,221.2,,False,209.8,220.57401264021289,210.0,221.92033768411417,0.0,5.1599279171789885,-31.420949109363825,-1.3190070517565227,0.0,1.0,1.0,1.0,10.774012640212874,11.920337684114173,5.1599279171789885
660,PR-0173,660.0,development,development,0.28,215.8,0.7,,,221.2,,False,210.0,220.6576271459863,210.0,221.89647052268873,11.999999999999318,5.117010645946954,-31.71645307941222,-1.3306505035398943,0.0,1.0,1.0,1.0,10.65762714598631,11.89647052268873,-6.882989354052364
661,PR-0173,661.0,development,development,0.28,216.3,0.7,,,221.2,,False,210.0,220.74053171631985,210.0,221.87245348443875,0.0,5.074189718166581,-32.01106344039299,-1.342258745325612,0.0,1.0,1.0,1.0,10.74053171631985,11.87245348443875,5.074189718166581
662,PR-0173,662.0,development,development,0.28,215.6,0.7,,,221.2,,False,210.0,220.82274194739833,210.0,221.84908524323234,0.0,5.031716962129195,-32.29984169487794,-1.3536371903652205,0.0,1.0,1.0,1.0,10.822741947398328,11.849085243232338,5.031716962129195
663,PR-0173,663.0,development,development,0.28,216.7,0.7,,,221.2,,False,210.0,220.90425428443558,210.0,221.82795241990246,0.0,4.989423940160995,-32.59026731421034,-1.3650805448988288,0.0,1.0,1.0,1.0,10.90425428443558,11.82795241990246,4.989423940160995
664,PR-0173,664.0,development,development,0.28,212.0,0.7,,,221.2,,False,210.0,220.98513136461884,210.0,221.80586631430376,0.0,4.948384201411314,-32.85841122940054,-1.3756459553974094,0.0,1.0,1.0,1.0,10.985131364618837,11.805866314303756,4.948384201411314
665,PR-0173,665.0,development,development,0.28,215.7,0.7,,,221.2,,False,210.2,221.06533173621878,210.0,221.78439966507537,11.999999999999318,4.9074756297869,-33.139128292121995,-1.3867067732403362,0.0,1.0,1.0,1.0,10.865331736218792,11.78439966507537,-7.092524370212418
666,PR-0173,666.0,development,development,0.28,214.1,0.7,,,221.2,,False,210.2,221.14488159332095,209.8,221.7719023972871,0.0,4.867130368689806,-33.410441606191085,-1.3973970644402576,0.0,1.0,1.0,1.0,10.944881593320957,11.971902397287096,4.867130368689806
667,PR-0173,667.0,development,development,0.28,216.8,0.7,,,221.2,,False,210.2,221.2237771472443,209.8,221.75604137636668,0.0,4.82711122870334,-33.69017351253692,-1.4084190651371518,0.0,1.0,1.0,1.0,11.023777147244317,11.95604137636667,4.82711122870334
668,PR-0173,668.0,development,development,0.28,216.6,0.7,,,221.2,,False,210.5,221.3020194175655,209.8,221.74630112833816,18.000000000000682,4.787338725873899,-33.96628352756616,-1.419298356019005,0.0,1.0,1.0,1.0,10.802019417565504,11.946301128338149,-13.212661274126784
669,PR-0173,669.0,development,development,0.28,214.5,0.7,,,221.2,,False,210.5,221.37965131754535,209.8,221.7271925866404,0.0,4.748511307749013,-34.2309744337871,-1.4297277110072837,0.0,1.0,1.0,1.0,10.879651317545353,11.927192586640388,4.748511307749013
670,PR-0173,670.0,development,development,0.28,219.4,0.7,,,221.2,,False,210.5,221.45660169002173,209.8,221.71974667788433,0.0,4.709064619999062,-34.513220451147845,-1.4408487727434436,0.0,1.0,1.0,1.0,10.956601690021728,11.91974667788432,4.709064619999062
671,PR-0173,671.0,development,development,0.28,216.6,0.7,,,221.2,,False,210.5,221.5329393715334,209.8,221.71009927359995,0.0,4.670423501209225,-34.78109999679097,-1.4514037665492336,0.0,1.0,1.0,1.0,11.032939371533388,11.91009927359994,4.670423501209225
672,PR-0173,672.0,development,development,0.28,216.0,0.7,,,221.2,,False,210.8,221.60866860891653,209.8,221.69261219894028,18.000000000000682,4.632422723743037,-35.04382703021823,-1.46175574099275,0.0,1.0,1.0,1.0,10.80866860891652,11.89261219894027,-13.367577276257645
673,PR-0173,673.0,development,development,0.28,216.5,0.7,,,221.2,,False,210.8,221.6837702878969,209.8,221.6756445259449,0.0,4.594526128266606,-35.305988223944084,-1.472085420212011,0.0,1.0,1.0,1.0,10.88377028789688,11.875644525944892,4.594526128266606
674,PR-0173,674.0,development,development,0.2,216.7,0.7,,,221.2,,False,210.8,221.75804535275316,209.8,221.61115849765991,0.0,4.553119457199417,-35.64635237798582,-1.4854964536262965,0.0,1.0,1.0,1.0,10.958045352753146,11.811158497659903,4.553119457199417
